Row ID,Order ID,Customer ID,Customer Name,City,State,Postal Code,Product ID,Product Name,Sales,Quantity,Discount,Profit,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology,Sub-Category_Appliances,Sub-Category_Art,Sub-Category_Binders,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Copiers,Sub-Category_Envelopes,Sub-Category_Fasteners,Sub-Category_Furnishings,Sub-Category_Labels,Sub-Category_Machines,Sub-Category_Paper,Sub-Category_Phones,Sub-Category_Storage,Sub-Category_Supplies,Sub-Category_Tables,Order Year,Order Month,Ship Days
11,CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,California,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2014,6,5
12,CA-2014-115812,BH-11710,Brosina Hoffman,Los Angeles,California,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2014,6,5
13,CA-2017-114412,AA-10480,Andrew Allen,Concord,North Carolina,28027,OFF-PA-10002365,Xerox 1967,15.552,3,0.2,5.4432,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2017,4,5
14,CA-2016-161389,IM-15070,Irene Maddox,Seattle,Washington,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,12,5
15,US-2015-118983,HP-14815,Harold Pawlan,Fort Worth,Texas,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,11,4
16,US-2015-118983,HP-14815,Harold Pawlan,Fort Worth,Texas,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,11,4
17,CA-2014-105893,PK-19075,Pete Kriz,Madison,Wisconsin,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2014,11,7
18,CA-2014-167164,AG-10270,Alejandro Grove,West Jordan,Utah,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2014,5,2
19,CA-2014-143336,ZD-21925,Zuschuss Donatelli,San Francisco,California,94109,OFF-AR-10003056,Newell 341,8.56,2,0.0,2.4824,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,8,5
20,CA-2014-143336,ZD-21925,Zuschuss Donatelli,San Francisco,California,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2014,8,5
21,CA-2014-143336,ZD-21925,Zuschuss Donatelli,San Francisco,California,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,8,5
22,CA-2016-137330,KB-16585,Ken Black,Fremont,Nebraska,68025,OFF-AR-10000246,Newell 318,19.46,7,0.0,5.0596,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,12,4
23,CA-2016-137330,KB-16585,Ken Black,Fremont,Nebraska,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,12,4
24,US-2017-156909,SF-20065,Sandra Flanagan,Philadelphia,Pennsylvania,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2017,7,2
25,CA-2015-106320,EB-13870,Emily Burns,Orem,Utah,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2015,9,5
26,CA-2016-121755,EH-13945,Eric Hoffmann,Los Angeles,California,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,1,4
27,CA-2016-121755,EH-13945,Eric Hoffmann,Los Angeles,California,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,1,4
28,US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2015,9,4
29,US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,9,4
30,US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2015,9,4
31,US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,19140,OFF-EN-10001509,Poly String Tie Envelopes,3.264,2,0.2,1.1016,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2015,9,4
32,US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,9,4
33,US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,9,4
34,US-2015-150630,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,19140,OFF-AR-10001683,Lumber Crayons,15.76,2,0.2,3.546,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,9,4
35,CA-2017-107727,MA-17560,Matt Abelman,Houston,Texas,77095,OFF-PA-10000249,Easy-staple paper,29.472,3,0.2,9.9468,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2017,10,4
36,CA-2016-117590,GH-14485,Gene Hale,Richardson,Texas,75080,TEC-PH-10004977,GE 30524EE4,1097.544,7,0.2,123.4737,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2016,12,2
37,CA-2016-117590,GH-14485,Gene Hale,Richardson,Texas,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2016,12,2
38,CA-2015-117415,SN-20710,Steve Nguyen,Houston,Texas,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2015,12,4
39,CA-2015-117415,SN-20710,Steve Nguyen,Houston,Texas,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2015,12,4
40,CA-2015-117415,SN-20710,Steve Nguyen,Houston,Texas,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2015,12,4
41,CA-2015-117415,SN-20710,Steve Nguyen,Houston,Texas,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2015,12,4
42,CA-2017-120999,LC-16930,Linda Cazamias,Naperville,Illinois,60540,TEC-PH-10004093,Panasonic Kx-TS550,147.168,4,0.2,16.5564,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2017,9,5
43,CA-2016-101343,RA-19885,Ruben Ausman,Los Angeles,California,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2016,7,5
44,CA-2017-139619,ES-14080,Erin Smith,Melbourne,Florida,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2017,9,4
45,CA-2016-118255,ON-18715,Odella Nelson,Eagan,Minnesota,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,3,2
46,CA-2016-118255,ON-18715,Odella Nelson,Eagan,Minnesota,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,3,2
47,CA-2014-146703,PO-18865,Patrick O'Donnell,Westland,Michigan,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2014,10,5
48,CA-2016-169194,LH-16900,Lena Hernandez,Dover,Delaware,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,6,5
49,CA-2016-169194,LH-16900,Lena Hernandez,Dover,Delaware,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2016,6,5
50,CA-2015-115742,DP-13000,Darren Powers,New Albany,Indiana,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,4,4
51,CA-2015-115742,DP-13000,Darren Powers,New Albany,Indiana,47150,OFF-LA-10002762,Avery 485,75.18,6,0.0,35.3346,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2015,4,4
52,CA-2015-115742,DP-13000,Darren Powers,New Albany,Indiana,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2015,4,4
53,CA-2015-115742,DP-13000,Darren Powers,New Albany,Indiana,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2015,4,4
54,CA-2016-105816,JM-15265,Janet Molinari,New York City,New York,10024,OFF-FA-10000304,Advantus Push Pins,15.26,7,0.0,6.2566,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2016,12,6
55,CA-2016-105816,JM-15265,Janet Molinari,New York City,New York,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2016,12,6
56,CA-2016-111682,TB-21055,Ted Butterfield,Troy,New York,12180,OFF-ST-10000604,Home/Office Personal File Carts,208.56,6,0.0,52.14,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2016,6,1
57,CA-2016-111682,TB-21055,Ted Butterfield,Troy,New York,12180,OFF-PA-10001569,Xerox 232,32.4,5,0.0,15.552,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2016,6,1
58,CA-2016-111682,TB-21055,Ted Butterfield,Troy,New York,12180,FUR-CH-10003968,Novimex Turbo Task Chair,319.41,5,0.1,7.098,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2016,6,1
59,CA-2016-111682,TB-21055,Ted Butterfield,Troy,New York,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2016,6,1
60,CA-2016-111682,TB-21055,Ted Butterfield,Troy,New York,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,6,1
61,CA-2016-111682,TB-21055,Ted Butterfield,Troy,New York,12180,OFF-BI-10001460,Plastic Binding Combs,48.48,4,0.2,16.362,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,6,1
62,CA-2016-111682,TB-21055,Ted Butterfield,Troy,New York,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,6,1
63,CA-2015-135545,KM-16720,Kunst Miller,Los Angeles,California,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,11,6
64,CA-2015-135545,KM-16720,Kunst Miller,Los Angeles,California,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,11,6
65,CA-2015-135545,KM-16720,Kunst Miller,Los Angeles,California,90004,OFF-PA-10003892,Xerox 1943,146.73,3,0.0,68.9631,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2015,11,6
66,CA-2015-135545,KM-16720,Kunst Miller,Los Angeles,California,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2015,11,6
67,US-2015-164175,PS-18970,Paul Stevenson,Chicago,Illinois,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2015,4,5
68,CA-2014-106376,BS-11590,Brendan Sweed,Gilbert,Arizona,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,12,5
69,CA-2014-106376,BS-11590,Brendan Sweed,Gilbert,Arizona,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2014,12,5
70,CA-2016-119823,KD-16270,Karen Daniels,Springfield,Virginia,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2016,6,2
71,CA-2016-106075,HM-14980,Henry MacAllister,New York City,New York,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,9,5
72,CA-2017-114440,TB-21520,Tracy Blumstein,Jackson,Michigan,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2017,9,3
73,US-2015-134026,JE-15745,Joel Eaton,Memphis,Tennessee,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2015,4,6
74,US-2015-134026,JE-15745,Joel Eaton,Memphis,Tennessee,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2015,4,6
75,US-2015-134026,JE-15745,Joel Eaton,Memphis,Tennessee,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2015,4,6
76,US-2017-118038,KB-16600,Ken Brennan,Houston,Texas,77041,OFF-BI-10004182,Economy Binders,1.248,3,0.8,-1.9344,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2017,12,2
77,US-2017-118038,KB-16600,Ken Brennan,Houston,Texas,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2017,12,2
78,US-2017-118038,KB-16600,Ken Brennan,Houston,Texas,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2017,12,2
79,US-2014-147606,JE-15745,Joel Eaton,Houston,Texas,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2014,11,5
80,CA-2016-127208,SC-20770,Stewart Carmichael,Decatur,Alabama,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,6,3
81,CA-2016-127208,SC-20770,Stewart Carmichael,Decatur,Alabama,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,6,3
82,CA-2014-139451,DN-13690,Duane Noonan,San Francisco,California,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,10,4
83,CA-2014-139451,DN-13690,Duane Noonan,San Francisco,California,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2014,10,4
84,CA-2015-149734,JC-16105,Julie Creighton,Durham,North Carolina,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2015,9,5
85,US-2017-119662,CS-12400,Christopher Schild,Chicago,Illinois,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2017,11,3
86,CA-2017-140088,PO-18865,Patrick O'Donnell,Columbia,South Carolina,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2017,5,2
87,CA-2017-155558,PG-18895,Paul Gonzalez,Rochester,Minnesota,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2017,10,7
88,CA-2017-155558,PG-18895,Paul Gonzalez,Rochester,Minnesota,55901,OFF-LA-10000134,Avery 511,6.16,2,0.0,2.9568,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2017,10,7
89,CA-2016-159695,GM-14455,Gary Mitchum,Houston,Texas,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2016,4,5
90,CA-2016-109806,JS-15685,Jim Sink,Los Angeles,California,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2016,9,5
